   1 	    44.5586 
   2 	    45.3197 
   3 	    88.5462 
   4 	    93.5085 
   5 	   102.8060 
   6 	   112.0991 
   7 	   121.5488 
   8 	   130.9819 
   9 	   140.4232 
  10 	   149.9128 
  11 	   159.0898 
  12 	   168.6443 
  13 	   178.0905 
  14 	   187.4879 
  15 	   197.0381 
  16 	   206.0785 
  17 	   215.7274 
  18 	   225.1906 
  19 	   234.7889 
  20 	   243.9495 
  21 	   253.3827 
  22 	   262.7359 
  23 	   271.9926 
  24 	   281.8634 
  25 	   290.8875 
  26 	   300.2848 
  27 	   309.8950 
  28 	   318.9836 
  29 	   328.5335 
  30 	   450.8900 
  31 	   460.2054 
  32 	   469.5624 
  33 	   479.1528 
  34 	   488.4927 
  35 	   497.9903 
  36 	   507.3673 
  37 	   516.7847 
  38 	   526.2299 
  39 	   535.8237 
  40 	   545.3935 
  41 	   554.6430 
