   1 	     6.7303 
   2 	    16.0410 
   3 	    25.4667 
   4 	    34.9085 
   5 	    44.2471 
   6 	    53.6721 
   7 	    63.1266 
   8 	    72.5346 
   9 	    81.9751 
  10 	    91.3367 
  11 	   100.6554 
  12 	   110.1804 
  13 	   119.5786 
  14 	   128.9942 
  15 	   138.3879 
  16 	   147.8324 
  17 	   157.2383 
  18 	   166.5072 
  19 	   176.0662 
  20 	   185.4817 
  21 	   194.8866 
  22 	   204.3272 
  23 	   213.6856 
  24 	   223.0359 
  25 	   232.4696 
  26 	   336.0491 
  27 	   345.4662 
  28 	   354.8640 
  29 	   364.3661 
  30 	   373.7405 
  31 	   383.1644 
  32 	   392.5807 
  33 	   401.8078 
  34 	   411.2831 
  35 	   420.6357 
